index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
0,2011-01-04,Crêpe au fromage,0.5,0.0,0.0,0,0,1,,,False
1,2011-01-04,haricots beurre / haricots plats,0.5,0.0,0.5,0,0,1,,,False
5,2011-01-13,carottes râpées bio,0.0,0.0,0.5,1,0,1,carotte,legume,True
6,2011-01-14,Pomme,0.0,1.0,0.0,0,0,1,pomme,fruit,True
8,2011-01-18,Choux rouges,0.0,0.0,1.0,0,0,1,chou,legume,True
11,2011-01-19,Betteraves au chèvre,0.0,0.0,0.5,0,0,1,betterave,legume,True
12,2011-01-19,Kiwi,0.0,1.0,0.0,0,0,1,kiwi,fruit,True
13,2011-01-20,petits pois  à l'anglaise,0.0,0.0,1.0,0,0,1,pois,feculent,False
15,2011-01-21,riz pilaf,1.0,0.0,0.0,0,0,1,riz,feculent,False
17,2011-01-26,Clémentines,0.0,1.0,0.0,0,0,1,clementine,fruit,False
19,2011-02-02,Mâche au surimi,0.0,0.0,0.5,0,1,2,mâche,legume,True
21,2011-02-04,Kiwi,0.0,1.0,0.0,0,0,2,kiwi,fruit,True
22,2011-02-07,Pomme,0.0,1.0,0.0,0,0,2,pomme,fruit,True
23,2011-02-08,saucisse de volaille,0.0,0.0,0.5,0,0,2,ail,legume,True
26,2011-02-15,salade de mâche à la mimolette,0.0,0.0,0.5,0,0,2,mâche,legume,True
28,2011-02-28,pamplemousse,0.0,1.0,0.0,0,0,2,pamplemousse,fruit,True
30,2011-03-02,Frites,1.0,0.0,0.0,0,1,3,,,False
32,2011-03-04,Potage de légumes,0.0,0.0,1.0,0,0,3,,,False
33,2011-03-04,Epinards,0.0,0.0,1.0,0,0,3,epinards,legume,True
34,2011-03-07,salade,0.0,0.0,1.0,0,0,3,,,False
37,2011-03-10,Choux rouges,0.0,0.0,1.0,0,0,3,chou,legume,True
38,2011-03-14,Mâche,0.0,0.0,1.0,0,0,3,mâche,legume,False
39,2011-03-15,Choux blancs bio à la mimolette,0.0,0.0,0.5,1,0,3,chou,legume,True
40,2011-03-15,Marmelade de pommes,0.0,1.0,0.0,0,1,3,pomme,fruit,True
42,2011-03-18,radis / beurre,0.0,0.0,1.0,0,0,3,radis,legume,True
44,2011-03-21,Abricots secs,0.0,1.0,0.0,0,0,3,abricot,fruit,False
46,2011-03-23,Purée de céleri,0.0,0.0,1.0,0,0,3,celeri,legume,False
49,2011-03-25,Ananas,0.0,1.0,0.0,0,0,3,,,False
50,2011-03-29,Pomme,0.0,1.0,0.0,0,0,3,pomme,fruit,True
52,2011-04-08,Ananas,0.0,1.0,0.0,0,0,4,,,False
54,2011-04-12,Haricots verts,0.5,0.0,0.5,0,0,4,haricots verts,legume,False
55,2011-04-12,Orange,0.0,1.0,0.0,0,0,4,orange,fruit,False
56,2011-04-13,panaché de choux blancs et rouges,0.0,0.0,1.0,0,0,4,chou,legume,False
58,2011-04-19,semoule au lait maison,0.5,0.0,0.0,0,0,4,,,False
59,2011-04-22,"salade des Iles (Carottes, surimi, ananas)",0.0,0.3333333333333333,0.3333333333333333,0,1,4,carotte,legume,True
61,2011-04-26,petits pois,0.0,0.0,1.0,0,0,4,pois,feculent,False
62,2011-04-28,Concombres,0.0,0.0,1.0,0,0,4,concombre,legume,True
63,2011-04-28,Frites,1.0,0.0,0.0,0,1,4,,,False
64,2011-04-29,Kiwi,0.0,1.0,0.0,0,0,4,kiwi,fruit,False
67,2011-05-10,Pain perdu,1.0,0.0,0.0,0,0,5,,,False
69,2011-05-19,petits pois,0.0,0.0,1.0,0,0,5,pois,feculent,False
70,2011-05-20,Carottes râpées bio,0.0,0.0,0.5,1,0,5,carotte,legume,True
71,2011-05-23,Riz,1.0,0.0,0.0,0,0,5,riz,feculent,False
73,2011-05-26,Beignet aux pommes,0.0,1.0,0.0,0,1,5,pomme,fruit,False
74,2011-05-27,betteraves en des,0.0,0.0,1.0,0,0,5,betterave,legume,True
76,2011-05-30,ananas,0.0,1.0,0.0,0,0,5,,,False
81,2011-06-16,pomme de terre rissolées,0.25,0.25,0.25,0,0,6,pomme de terre,legume,True
82,2011-06-22,Riz,1.0,0.0,0.0,0,0,6,riz,feculent,False
86,2011-06-29,Carottes râpées,0.0,0.0,0.5,0,0,6,carotte,legume,True
88,2011-07-01,Chips,1.0,0.0,0.0,0,1,7,,,False
89,2011-07-06,Gaspacho,0.0,0.0,1.0,0,0,7,,,False
90,2011-07-06,Cerises,0.0,1.0,0.0,0,0,7,cerise,fruit,True
92,2011-07-15,Pommes rissolées,0.0,0.5,0.0,0,0,7,pomme de terre,legume,False
93,2011-07-18,salade verte,0.0,0.0,1.0,0,0,7,salade verte,legume,True
94,2011-07-19,nectarine,0.0,1.0,0.0,0,0,7,nectarine,fruit,True
97,2011-07-29,Epinards,0.0,0.0,1.0,0,0,7,epinards,legume,True
98,2011-07-29,Riz,1.0,0.0,0.0,0,0,7,riz,feculent,False
101,2011-08-04,Brocolis à la crème,0.0,0.0,1.0,0,0,8,brocoli,legume,True
102,2011-08-04,Banane,0.0,1.0,0.0,0,0,8,,,False
103,2011-08-09,Carottes à la crème,0.0,0.0,1.0,0,0,8,carotte,legume,True
104,2011-08-09,Pêche,0.0,1.0,0.0,0,0,8,pêche,fruit,True
105,2011-08-10,Gaspacho,0.0,0.0,1.0,0,0,8,,,False
111,2011-09-07,marmelade de pommes,0.0,1.0,0.0,0,1,9,pomme,fruit,True
112,2011-09-07,Eclair chocolat,0.5,0.0,0.0,0,1,9,,,False
113,2011-09-14,Choux rouges bio,0.0,0.0,1.0,1,0,9,chou,legume,True
115,2011-09-15,tarte aux pommes,0.0,1.0,0.0,0,0,9,pomme,fruit,True
117,2011-09-16,Pommes rissolées,0.0,0.5,0.0,0,0,9,pomme de terre,legume,True
118,2011-09-19,betteraves en des,0.0,0.0,1.0,0,0,9,betterave,legume,True
120,2011-09-23,raisin,0.0,1.0,0.0,0,0,9,raisin,fruit,True
121,2011-09-26,Rillettes de thon/citron,0.0,0.5,0.0,0,0,9,citron,fruit,False
122,2011-09-27,beignet choco,0.5,0.0,0.0,0,1,9,,,False
123,2011-09-28,Concombres,0.0,0.0,1.0,0,0,9,concombre,legume,True
124,2011-09-30,carottes râpées bio,0.0,0.0,0.5,1,0,9,carotte,legume,True
125,2011-10-04,Poire,0.0,1.0,0.0,0,0,10,poire,fruit,True
127,2011-10-05,tarte pommes,0.0,1.0,0.0,0,0,10,pomme,fruit,True
130,2011-10-14,quinoa,1.0,0.0,0.0,0,0,10,quinoa,feculent,True
131,2011-10-14,tomate concombre,0.0,0.5,0.5,0,0,10,concombre,legume,True
132,2011-10-18,Choux fleurs agro,0.0,0.0,1.0,0,0,10,chou,legume,True
134,2011-10-19,Raisin,0.0,1.0,0.0,0,0,10,raisin,fruit,True
135,2011-10-21,Carottes surgelées,0.0,0.0,1.0,0,0,10,carotte,legume,True
136,2011-10-26,Salade verte,0.0,0.0,1.0,0,0,10,salade verte,legume,True
139,2011-11-03,Gervais maxi fraise,0.0,0.5,0.0,0,0,11,fraise,fruit,False
140,2011-11-04,Poisson pané/citron,0.0,0.5,0.0,0,1,11,citron,fruit,True
141,2011-11-04,Ananas,0.0,1.0,0.0,0,0,11,,,False
143,2011-11-09,betteraves en dés,0.0,0.0,1.0,0,0,11,betterave,legume,True
144,2011-11-10,riz au lait maison,0.5,0.0,0.0,0,0,11,riz,feculent,False
146,2011-11-22,haricots verts,0.5,0.0,0.5,0,0,11,haricots verts,legume,False
147,2011-11-23,chili con carné,0.3333333333333333,0.0,0.3333333333333333,0,0,11,,,False
148,2011-11-24,chx fleurs becha agro,0.0,0.0,1.0,0,0,11,,,False
149,2011-11-25,salade verte,0.0,0.0,1.0,0,0,11,salade verte,legume,True
151,2011-11-30,Radis,0.0,0.0,1.0,0,0,11,radis,legume,True
153,2011-12-01,coquillettes,1.0,0.0,0.0,0,0,12,,,False
155,2011-12-07,Clémentines,0.0,1.0,0.0,0,0,12,clementine,fruit,False
156,2011-12-09,palet brocolis/carottes,0.0,0.0,1.0,0,0,12,carotte,legume,True
157,2011-12-09,Pomme,0.0,1.0,0.0,0,0,12,pomme,fruit,True
159,2011-12-13,abricots secs,0.0,1.0,0.0,0,0,12,abricot,fruit,False
162,2011-12-16,Banane,0.0,1.0,0.0,0,0,12,,,False
164,2011-12-22,Salade marine de noel,0.0,0.0,1.0,0,0,12,,,False
165,2011-12-22,purée de carottes,0.0,0.0,1.0,0,0,12,carotte,legume,True
166,2011-12-23,riz,1.0,0.0,0.0,0,0,12,riz,feculent,False
172,2012-01-03,Potage tomate,0.0,0.5,0.5,0,0,1,tomate,fruit,False
173,2012-01-03,hachis parmentier,0.5,0.0,0.0,0,1,1,,,False
174,2012-01-06,Batonnière de légumes agro,0.0,0.0,1.0,0,0,1,,,False
175,2012-01-10,Clémentines,0.0,1.0,0.0,0,0,1,clementine,fruit,False
179,2012-01-18,semoule,1.0,0.0,0.0,0,0,1,,,False
183,2012-01-23,Riz cantonnais,1.0,0.0,0.0,0,0,1,riz,feculent,False
185,2012-01-26,Haricots verts,0.5,0.0,0.5,0,0,1,haricots verts,legume,False
187,2012-02-03,Pommes de terre sautées agro,0.0,1.0,0.0,0,0,2,pomme de terre,legume,True
188,2012-02-06,Pizza,0.5,0.0,0.5,0,0,2,,,False
192,2012-02-10,Banane,0.0,1.0,0.0,0,0,2,,,False
193,2012-02-13,Salade coleslaw,0.0,0.0,1.0,0,0,2,,,False
195,2012-02-15,Salade,0.0,0.0,1.0,0,0,2,,,False
196,2012-02-15,et abricots secs,0.0,1.0,0.0,0,0,2,abricot,fruit,False
198,2012-02-17,Kiwi,0.0,1.0,0.0,0,0,2,kiwi,fruit,True
199,2012-02-21,Clémentines,0.0,1.0,0.0,0,0,2,clementine,fruit,False
201,2012-02-24,riz au lait maison,0.5,0.0,0.0,0,0,2,riz,feculent,False
202,2012-02-27,flan chocolat,0.5,0.0,0.0,0,1,2,,,False
206,2012-03-07,Brocolis à la provençale,0.0,0.0,1.0,0,0,3,brocoli,legume,False
208,2012-03-12,riz,1.0,0.0,0.0,0,0,3,riz,feculent,False
212,2012-03-15,Carottes râpées,0.0,0.0,0.5,0,0,3,carotte,legume,True
213,2012-03-15,cordon bleu de volaille,0.3333333333333333,0.0,0.3333333333333333,0,0,3,ail,legume,True
214,2012-03-16,radis / beurre,0.0,0.0,1.0,0,0,3,radis,legume,True
215,2012-03-16,Liégeois chocolat,0.5,0.0,0.0,0,1,3,,,False
216,2012-03-20,Haricots beurre,0.5,0.0,0.5,0,0,3,,,False
218,2012-03-27,Pomme,0.0,1.0,0.0,0,0,3,pomme,fruit,True
219,2012-03-29,Eclair chocolat,0.5,0.0,0.0,0,1,3,,,False
220,2012-03-30,carottes râpées,0.0,0.0,0.5,0,0,3,carotte,legume,True
222,2012-03-30,RIZ,1.0,0.0,0.0,0,0,3,riz,feculent,False
224,2012-04-03,petits pois,0.0,0.0,1.0,0,0,4,pois,feculent,False
226,2012-04-11,Radis / beurre,0.0,0.0,1.0,0,0,4,radis,legume,True
227,2012-04-11,Salade verte,0.0,0.0,1.0,0,0,4,salade verte,legume,True
233,2012-05-10,Banane,0.0,1.0,0.0,0,0,5,,,False
234,2012-05-15,Cocktail de fruits,0.0,0.5,0.5,0,0,5,ail,legume,True
236,2012-05-22,petits pois,0.0,0.0,1.0,0,0,5,pois,feculent,False
237,2012-05-23,Haricots verts,0.5,0.0,0.5,0,0,5,haricots verts,legume,False
246,2012-06-05,melon,0.0,1.0,0.0,0,0,6,melon,fruit,True
247,2012-06-06,riz pilaf,1.0,0.0,0.0,0,0,6,riz,feculent,False
248,2012-06-11,salade aux dés de gruyère,0.0,0.0,0.5,0,0,6,,,False
250,2012-06-14,Flan caramel,0.5,0.0,0.0,0,1,6,,,False
251,2012-06-15,ratatouille cuisinée,0.0,0.0,1.0,0,1,6,,,False
256,2012-06-25,Betteraves (stock) au gruyère,0.0,0.0,0.5,0,0,6,betterave,legume,True
257,2012-06-27,Marmelade de pommes,0.0,1.0,0.0,0,1,6,pomme,fruit,True
259,2012-07-03,radis/beurre,0.0,0.0,1.0,0,0,7,radis,legume,True
260,2012-07-03,tarte aux pommes,0.0,1.0,0.0,0,0,7,pomme,fruit,False
261,2012-07-05,cerises,0.0,1.0,0.0,0,0,7,cerise,fruit,True
262,2012-07-06,fraises,0.0,1.0,0.0,0,0,7,fraise,fruit,True
263,2012-07-09,Timbale de pâtes au jambon,0.5,0.0,0.0,0,1,7,,,False
264,2012-07-11,brocolis Provençal,0.0,0.0,1.0,0,0,7,brocoli,legume,True
268,2012-07-18,abricots,0.0,1.0,0.0,0,0,7,abricot,fruit,True
269,2012-07-20,pomme vapeur,0.0,1.0,0.0,0,0,7,pomme de terre,legume,False
271,2012-07-25,Pommes de terre au thon,0.0,0.5,0.0,0,0,7,pomme de terre,legume,False
273,2012-07-27,nectarine,0.0,1.0,0.0,0,0,7,nectarine,fruit,True
274,2012-07-30,Choux rouges BIO,0.0,0.0,1.0,0,0,7,chou,legume,False
275,2012-07-31,Pâtes à la bolognaise,0.25,0.0,0.25,0,0,7,,,False
277,2012-08-14,Salsifis béchamel,0.0,0.0,1.0,0,0,8,salsifi,legume,False
278,2012-08-17,Choux blancs mimolette,0.0,0.0,0.5,0,0,8,chou,legume,False
279,2012-08-17,pomme vapeur,0.0,1.0,0.0,0,0,8,pomme de terre,legume,False
280,2012-08-23,Pastèque,0.0,1.0,0.0,0,0,8,pasteque,fruit,False
282,2012-08-27,Riz,1.0,0.0,0.0,0,0,8,riz,feculent,False
284,2012-08-30,Pâté de volaille,0.0,0.0,0.5,0,1,8,ail,legume,True
286,2012-08-31,Pommes rissolées,0.0,0.5,0.0,0,0,8,pomme de terre,legume,False
288,2012-09-04,Prune reine-claude,0.0,1.0,0.0,0,0,9,prune,fruit,True
289,2012-09-07,madeleine,0.5,0.0,0.0,0,1,9,,,False
291,2012-09-11,Haricots verts,0.5,0.0,0.5,0,0,9,haricots verts,legume,True
293,2012-09-12,Salsifis,0.0,0.0,1.0,0,0,9,salsifi,legume,False
294,2012-09-13,fromage blanc / abricots secs,0.0,0.5,0.0,0,0,9,abricot,fruit,False
295,2012-09-17,radis / beurre,0.0,0.0,1.0,0,0,9,radis,legume,True
296,2012-09-18,Eclair chocolat,0.5,0.0,0.0,0,1,9,,,False
297,2012-09-19,Tagliatelles,1.0,0.0,0.0,0,0,9,,,False
298,2012-09-21,Melon,0.0,1.0,0.0,0,0,9,melon,fruit,True
301,2012-09-26,Pomme,0.0,1.0,0.0,0,0,9,pomme,fruit,True
302,2012-09-28,clafoutis de poireaux,0.0,0.5,0.5,0,0,9,poireau,legume,True
304,2012-10-04,Gâteau aux pépites de chocolat,0.5,0.0,0.0,0,1,10,,,False
307,2012-10-12,"Salade de blé bio (Blé bio, tomates, maïs)",0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,10,tomate,fruit,True
308,2012-10-16,Salade de pâtes aux tomates confites,0.25,0.25,0.25,0,1,10,tomate,fruit,True
310,2012-10-16,Pomme bio,0.0,1.0,0.0,1,0,10,pomme,fruit,True
311,2012-10-18,Choux blancs bio à la mimolette,0.0,0.0,0.5,1,0,10,chou,legume,True
313,2012-10-30,Pomme,0.0,1.0,0.0,0,0,10,pomme,fruit,True
314,2012-10-31,Pommes vapeur,0.0,1.0,0.0,0,0,10,pomme de terre,legume,True
315,2012-11-15,Haricots verts,0.5,0.0,0.5,0,0,11,haricots verts,legume,False
317,2012-11-16,Courgettes à la tomate,0.0,0.5,0.5,0,0,11,courge,legume,True
318,2012-11-19,Bâtonnière de légumes,0.0,0.0,1.0,0,0,11,,,False
319,2012-11-19,Poire,0.0,1.0,0.0,0,0,11,poire,fruit,True
320,2012-11-22,Concombres vinaigrette,0.0,0.0,1.0,0,0,11,concombre,legume,False
322,2012-11-27,Pizza,0.5,0.0,0.5,0,0,11,,,False
323,2012-11-30,Mâche aux noix,0.0,0.5,0.5,0,0,11,mâche,legume,True
325,2012-12-06,Choux rouges bio,0.0,0.0,1.0,1,0,12,chou,legume,True
326,2012-12-11,Concombres,0.0,0.0,1.0,0,0,12,concombre,legume,False
328,2012-12-13,Banane,0.0,1.0,0.0,0,0,12,,,False
331,2012-12-17,Dés de betteraves,0.0,0.0,1.0,0,0,12,betterave,legume,True
332,2012-12-19,potage tomate/vermicelle,0.0,0.5,0.5,0,0,12,tomate,fruit,False
333,2012-12-21,Poire,0.0,1.0,0.0,0,0,12,poire,fruit,True
335,2012-12-27,banane,0.0,1.0,0.0,0,0,12,,,False
336,2012-12-28,Kiwi bio,0.0,1.0,0.0,1,0,12,kiwi,fruit,True
337,2013-01-02,Haricots verts,0.5,0.0,0.5,0,0,1,haricots verts,legume,False
339,2013-01-08,carottes beurre provençal,0.0,0.0,1.0,0,0,1,carotte,legume,True
340,2013-01-15,Frites,1.0,0.0,0.0,0,1,1,,,False
341,2013-09-04,Concombres,0.0,0.0,1.0,0,0,9,concombre,legume,True
342,2013-09-05,Haricots verts,0.5,0.0,0.5,0,0,9,haricots verts,legume,True
343,2013-09-06,tarte au citron Boncolac,0.0,1.0,0.0,0,0,9,citron,fruit,False
345,2013-09-16,Pastèque,0.0,1.0,0.0,0,0,9,pasteque,fruit,False
347,2013-09-19,mogettes,1.0,0.0,0.0,0,0,9,,,False
348,2013-09-20,Raisin,0.0,1.0,0.0,0,0,9,raisin,fruit,True
351,2013-09-27,Purée de légumes verts,0.0,0.0,1.0,0,0,9,,,False
352,2013-09-27,Prunes,0.0,1.0,0.0,0,0,9,prune,fruit,True
353,2013-09-30,Poêlée de légumes au cumin,0.0,0.0,1.0,0,0,9,,,False
356,2013-10-11,Brocolis Provençal,0.0,0.0,1.0,0,0,10,brocoli,legume,True
359,2013-10-15,Nuggets de volaille+ketchup,0.0,0.0,1.0,0,1,10,ail,legume,True
361,2013-10-23,Haricots beurre,0.5,0.0,0.5,0,0,10,,,False
362,2013-10-24,petits pois,0.0,0.0,1.0,0,0,10,pois,feculent,False
363,2013-10-24,Beignet aux pommes,0.0,1.0,0.0,0,1,10,pomme,fruit,True
364,2013-10-25,Ananas,0.0,1.0,0.0,0,0,10,,,False
365,2013-10-28,Choux rouges bio,0.0,0.0,1.0,1,0,10,chou,legume,True
369,2013-10-30,ratatouille,0.0,0.0,1.0,0,1,10,,,False
374,2013-11-20,Carottes râpées bio,0.0,0.0,0.5,1,0,11,carotte,legume,True
375,2013-11-20,Tarte aux pommes,0.0,1.0,0.0,0,0,11,pomme,fruit,True
376,2013-11-25,Choux Bruxelles Educalim,0.0,0.0,1.0,0,0,11,chou,legume,True
377,2013-11-26,Carottes,0.0,0.0,1.0,0,0,11,carotte,legume,True
379,2013-11-27,Riz,1.0,0.0,0.0,0,0,11,riz,feculent,False
380,2013-11-28,Concombres,0.0,0.0,1.0,0,0,11,concombre,legume,False
381,2013-11-29,Choux raves bio,0.0,0.0,1.0,1,0,11,chou,legume,True
382,2013-11-29,Purée de pommes de terre,0.0,1.0,0.0,0,0,11,pomme de terre,legume,True
384,2013-12-06,Brocolis béchamel,0.0,0.0,1.0,0,0,12,brocoli,legume,False
385,2013-12-10,Salade verte,0.0,0.0,1.0,0,0,12,salade verte,legume,True
387,2013-12-16,Choux fleurs bécha agro,0.0,0.0,1.0,0,0,12,chou,legume,True
389,2013-12-16,Clémentines,0.0,1.0,0.0,0,0,12,clementine,fruit,False
391,2013-12-20,Crêpe au fromage,0.5,0.0,0.0,0,0,12,,,False
393,2013-12-23,carottes à la crème,0.0,0.0,1.0,0,0,12,carotte,legume,True
395,2013-12-26,Pommes duchesse,0.0,1.0,0.0,0,0,12,pomme de terre,legume,True
397,2014-01-02,"Carottes, poireaux, navet",0.0,0.5,0.5,0,0,1,carotte,legume,True
399,2014-01-08,coquillettes et râpé,0.5,0.0,0.0,0,0,1,,,False
400,2014-01-10,Epinards à la crème,0.0,0.0,1.0,0,0,1,epinards,legume,True
405,2014-01-29,Gâteau au chocolat Catel Roc,0.5,0.0,0.0,0,1,1,,,False
406,2014-01-31,Salade de fruits exotiques,0.0,0.5,0.5,0,0,1,,,False
407,2014-02-03,Choux fleurs au gratin,0.0,0.0,1.0,0,0,2,chou,legume,False
408,2014-02-04,Orange,0.0,1.0,0.0,0,0,2,orange,fruit,True
409,2014-02-06,Timbale de pâtes au jambon,0.5,0.0,0.0,0,1,2,,,False
410,2014-02-07,Betteraves en cube,0.0,0.0,1.0,0,0,2,betterave,legume,True
411,2014-02-07,ananas,0.0,1.0,0.0,0,0,2,,,False
414,2014-02-13,Eclair chocolat,0.5,0.0,0.0,0,1,2,,,False
415,2014-02-14,Potage carottes,0.0,0.0,1.0,0,0,2,carotte,legume,True
418,2014-02-17,Orange,0.0,1.0,0.0,0,0,2,orange,fruit,True
419,2014-02-21,Gratinée de légumes,0.0,0.0,1.0,0,0,2,,,False
420,2014-02-21,Kiwi bio,0.0,1.0,0.0,1,0,2,kiwi,fruit,True
421,2014-02-24,Lasagnes,0.3333333333333333,0.0,0.3333333333333333,0,0,2,,,False
422,2014-03-03,Pomme,0.0,1.0,0.0,0,0,3,pomme,fruit,True
424,2014-03-04,salade verte,0.0,0.0,1.0,0,0,3,salade verte,legume,True
425,2014-03-05,Banane,0.0,1.0,0.0,0,0,3,,,False
426,2014-03-13,Taboulé,0.5,0.0,0.5,0,0,3,,,False
427,2014-03-13,Brocolis,0.0,0.0,1.0,0,0,3,brocoli,legume,False
428,2014-03-13,Orange,0.0,1.0,0.0,0,0,3,orange,fruit,True
432,2014-03-28,Crêpe au fromage,0.5,0.0,0.0,0,0,3,,,False
434,2014-03-28,Orange,0.0,1.0,0.0,0,0,3,orange,fruit,True
435,2014-03-31,Pâtes à la bolognaise,0.25,0.0,0.25,0,0,3,,,False
436,2014-04-01,et pommes de terre (observation educalim sans,0.0,1.0,0.0,0,0,4,pomme de terre,legume,False
438,2014-04-02,Demi-pamplemousse,0.0,1.0,0.0,0,0,4,pamplemousse,fruit,True
441,2014-04-07,marmelade de pommes,0.0,1.0,0.0,0,1,4,pomme,fruit,True
442,2014-04-08,Choux blancs à la mimolette,0.0,0.0,0.5,0,0,4,chou,legume,False
443,2014-04-08,Frites,1.0,0.0,0.0,0,1,4,,,False
444,2014-04-08,Cocktail de fruits au sirop,0.0,0.5,0.5,0,0,4,ail,legume,True
446,2014-04-11,chili,0.0,0.0,0.5,0,0,4,,,False
448,2014-04-18,Choux rouges bio,0.0,0.0,1.0,1,0,4,chou,legume,False
451,2014-04-22,Compote bio,0.0,1.0,0.0,1,1,4,,,False
455,2014-04-24,Banane,0.0,1.0,0.0,0,0,4,,,False
461,2014-05-14,Marmelade de pommes,0.0,1.0,0.0,0,1,5,pomme,fruit,False
463,2014-05-16,Riz basmati,1.0,0.0,0.0,0,0,5,riz,feculent,False
464,2014-05-19,choux bruxelles educalim,0.0,0.0,1.0,0,0,5,chou,legume,False
465,2014-05-20,Purée de légumes verts,0.0,0.0,1.0,0,0,5,,,False
467,2014-05-21,Choux rouges,0.0,0.0,1.0,0,0,5,chou,legume,False
468,2014-05-21,Ananas,0.0,1.0,0.0,0,0,5,,,False
470,2014-05-26,salade douceur / surimi,0.0,0.0,0.5,0,1,5,,,False
471,2014-05-26,Pâtes à la bolognaise (Collet),0.5,0.0,0.0,0,0,5,,,False
472,2014-06-02,salade,0.0,0.0,1.0,0,0,6,,,False
473,2014-06-03,Tarte grillée aux pommes,0.0,1.0,0.0,0,0,6,pomme,fruit,True
477,2014-06-16,Poêlée victoria,0.5,0.0,0.5,0,0,6,,,False
478,2014-06-17,tarte abricots framboise,0.0,1.0,0.0,0,0,6,abricot,fruit,True
479,2014-06-18,abricot,0.0,1.0,0.0,0,0,6,abricot,fruit,True
482,2014-06-23,Palets brocolis/carottes,0.0,0.0,1.0,0,0,6,carotte,legume,True
484,2014-06-26,Pastèque,0.0,1.0,0.0,0,0,6,pasteque,fruit,False
485,2014-06-27,Marmite du Perray,0.5,0.0,0.5,0,0,6,,,False
486,2014-06-30,Raviolis,1.0,0.0,0.0,0,0,6,,,False
487,2014-07-01,Betteraves (stock) aux dés de chèvre,0.0,0.0,0.5,0,0,7,betterave,legume,True
488,2014-07-04,Melon,0.0,1.0,0.0,0,0,7,melon,fruit,True
490,2014-07-10,Pastèque,0.0,1.0,0.0,0,0,7,pasteque,fruit,False
494,2014-07-29,Tarte citron,0.0,1.0,0.0,0,0,7,citron,fruit,False
495,2014-08-04,raviolis 5/1,1.0,0.0,0.0,0,0,8,,,False
497,2014-08-05,légumes couscous,0.0,0.0,1.0,0,0,8,,,False
498,2014-08-08,galets brocoli/ carottes,0.0,0.0,1.0,0,0,8,carotte,legume,True
499,2014-08-08,Banane,0.0,1.0,0.0,0,0,8,,,False
501,2014-08-12,Carottes,0.0,0.0,1.0,0,0,8,carotte,legume,True
502,2014-08-13,Concombres,0.0,0.0,1.0,0,0,8,concombre,legume,True
503,2014-08-14,Epinards,0.0,0.0,1.0,0,0,8,epinards,legume,True
506,2014-08-21,Haricots verts,0.5,0.0,0.5,0,0,8,haricots verts,legume,True
509,2014-08-28,Paupiette de volaille,0.0,0.0,1.0,0,0,8,ail,legume,True
510,2014-08-28,Salsifis,0.0,0.0,1.0,0,0,8,salsifi,legume,False
511,2014-08-29,dés de betteraves,0.0,0.0,1.0,0,0,8,betterave,legume,True
513,2014-09-08,Légumes poêlés et potatoes,0.0,0.0,1.0,0,0,9,,,False
514,2014-09-09,Salsifis provençal,0.0,0.0,1.0,0,0,9,salsifi,legume,False
517,2014-09-16,purée de p de terre,1.0,0.0,0.0,0,0,9,,,False
519,2014-09-24,Pain perdu,1.0,0.0,0.0,0,0,9,,,False
520,2014-09-25,Marmelade de pommes bio,0.0,1.0,0.0,1,1,9,pomme,fruit,True
522,2014-10-06,Semoule,1.0,0.0,0.0,0,0,10,,,False
526,2014-10-14,Mâche à la mimolette,0.0,0.0,0.5,0,0,10,mâche,legume,False
528,2014-10-14,ratatouille confite,0.0,0.0,1.0,0,1,10,,,False
529,2014-10-15,petits pois 5/2,0.0,0.0,1.0,0,0,10,pois,feculent,False
530,2014-10-15,Compote po/châtaignes,0.0,1.0,0.0,0,1,10,châtaigne,fruit,True
534,2014-10-23,Haricots beurre,0.5,0.0,0.5,0,0,10,,,False
535,2014-10-27,Taboulé (semoule bio),1.0,0.0,0.0,1,0,10,,,False
536,2014-10-29,Fondant chocolat,0.5,0.0,0.0,0,1,10,,,False
537,2014-11-03,Radis,0.0,0.0,1.0,0,0,11,radis,legume,True
539,2014-11-07,Poire,0.0,1.0,0.0,0,0,11,poire,fruit,True
541,2014-11-13,Chou rave bio,0.0,0.0,1.0,1,0,11,chou,legume,True
542,2014-11-14,fondant de haricots verts,0.5,0.0,0.5,0,0,11,haricots verts,legume,False
544,2014-11-17,palet de brocolis / carottes,0.0,0.0,1.0,0,0,11,carotte,legume,True
545,2014-11-18,Concombres,0.0,0.0,1.0,0,0,11,concombre,legume,False
546,2014-11-24,Carottes râpées bio,0.0,0.0,0.5,1,0,11,carotte,legume,True
548,2014-11-27,Marmelade de pommes,0.0,1.0,0.0,0,1,11,pomme,fruit,True
549,2014-12-01,Haricots verts SMR,0.5,0.0,0.5,0,0,12,haricots verts,legume,False
550,2014-12-02,Petits poisson panés,0.0,0.0,0.5,0,1,12,pois,feculent,True
551,2014-12-02,Kiwi,0.0,1.0,0.0,0,0,12,kiwi,fruit,True
555,2014-12-16,haricots verts,0.5,0.0,0.5,0,0,12,haricots verts,legume,False
557,2014-12-18,terrine d'avocat et crabe,0.0,0.3333333333333333,0.3333333333333333,0,0,12,,,False
559,2014-12-18,fondant chocolat,0.5,0.0,0.0,0,1,12,,,False
